Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Parental_Involvement_Encoded,Access_to_Resources_Encoded,Extracurricular_Activities_Encoded,Motivation_Level_Encoded,Internet_Access_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,School_Type_Encoded,Peer_Influence_Encoded,Learning_Disabilities_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Gender_Encoded,Study_Attendance_Product,Study_Sleep_Balance,Academic_Support_Index,Home_Support_Index,Wellbeing_Index
19,74,Medium,Medium,No,7,86,High,Yes,1,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,68,2,2,0,3,1,3,2,1,1,0,3,3,1,1406,2.7142857142857144,6,8,10
19,75,Medium,High,No,10,88,Low,Yes,0,Low,High,Public,Positive,2,No,High School,Near,Female,66,2,3,0,1,1,1,3,0,1,0,1,3,0,1425,1.9,7,4,12
18,95,Medium,Medium,No,6,81,Medium,Yes,0,Low,Medium,Public,Positive,3,Yes,High School,Near,Female,68,2,2,0,2,1,1,2,0,1,1,1,3,0,1710,3.0,5,4,9
14,62,Medium,High,Yes,7,79,Low,Yes,2,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,62,2,3,1,1,1,2,2,1,1,0,1,2,0,868,2.0,8,5,9
13,100,Medium,Low,Yes,8,73,Low,Yes,1,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,68,2,1,1,1,1,1,2,0,0,0,3,3,1,1300,1.625,5,6,11
23,87,Medium,High,No,6,72,Medium,Yes,1,Low,High,Private,Negative,3,No,College,Moderate,Male,69,2,3,0,2,1,1,3,1,-1,0,2,2,1,2001,3.8333333333333335,8,5,9
17,87,High,High,Yes,6,94,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,70,3,3,1,2,1,1,2,1,0,0,1,2,1,1479,2.8333333333333335,8,5,9
22,62,High,Medium,Yes,7,70,Low,Yes,4,Low,Medium,Public,Negative,2,No,College,Near,Female,65,3,2,1,1,1,1,2,0,-1,0,2,3,0,1364,3.142857142857143,9,6,9
15,84,Low,Medium,Yes,6,92,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,68,1,2,1,2,1,2,2,0,1,0,2,3,0,1260,2.5,8,5,9
21,79,Medium,High,No,4,92,Low,Yes,0,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Female,67,2,3,0,1,1,1,2,0,-1,0,3,3,0,1659,5.25,6,6,6
28,64,Low,Medium,Yes,6,89,Medium,Yes,0,Low,Low,Public,Neutral,4,No,College,Far,Male,64,1,2,1,2,1,1,1,0,0,0,2,1,1,1792,4.666666666666667,4,4,10
24,71,Low,Medium,No,8,52,Medium,No,2,Medium,Medium,Public,Negative,3,No,College,Near,Female,63,1,2,0,2,0,2,2,0,-1,0,2,3,0,1704,3.0,6,5,11
18,96,Medium,Low,Yes,8,57,Medium,Yes,1,Medium,Medium,Public,Negative,2,No,High School,Near,Female,67,2,1,1,2,1,2,2,0,-1,0,1,3,0,1728,2.25,5,5,10
22,82,High,Low,No,9,66,Medium,Yes,1,Low,High,Private,Negative,3,No,High School,Moderate,Male,66,3,1,0,2,1,1,3,1,-1,0,1,2,1,1804,2.4444444444444446,6,5,12
19,77,High,Low,Yes,9,92,Medium,Yes,2,Low,Medium,Public,Positive,4,No,High School,Near,Female,67,3,1,1,2,1,1,2,0,1,0,1,3,0,1463,2.111111111111111,6,5,13
20,63,Medium,Medium,Yes,6,94,Medium,No,2,Medium,Medium,Public,Neutral,3,No,High School,Far,Female,63,2,2,1,2,0,2,2,0,0,0,1,1,0,1260,3.3333333333333335,6,5,9
18,89,Medium,Medium,Yes,6,52,Medium,Yes,3,High,High,Public,Positive,3,No,High School,Moderate,Female,69,2,2,1,2,1,3,3,0,1,0,1,2,0,1602,3.0,9,6,9
19,88,High,High,No,6,66,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,High School,Near,Female,70,3,3,0,2,1,2,2,0,1,0,1,3,0,1672,3.1666666666666665,9,6,8
21,85,High,Medium,Yes,7,93,Medium,Yes,0,High,Medium,Public,Neutral,4,No,High School,Moderate,Male,70,3,2,1,2,1,3,2,0,0,0,1,2,1,1785,3.0,5,7,11
14,80,High,Medium,No,6,62,Medium,Yes,0,High,Medium,Private,Negative,2,No,Postgraduate,Near,Male,65,3,2,0,2,1,3,2,1,-1,0,3,3,1,1120,2.3333333333333335,5,9,8
14,77,Low,Low,No,7,99,Low,Yes,2,Medium,Medium,Public,Positive,2,No,Postgraduate,Moderate,Female,64,1,1,0,1,1,2,2,0,1,0,3,2,0,1078,2.0,6,6,9
12,84,Medium,High,Yes,6,74,High,Yes,1,Medium,High,Public,Negative,3,No,College,Moderate,Female,67,2,3,1,3,1,2,3,0,-1,0,2,2,0,1008,2.0,8,6,9
10,69,Low,Medium,No,8,97,Medium,Yes,1,Medium,Medium,Private,Negative,3,No,High School,Near,Female,61,1,2,0,2,1,2,2,1,-1,0,1,3,0,690,1.25,6,4,11
13,98,Medium,High,Yes,6,71,Medium,Yes,1,Low,High,Private,Positive,1,No,College,Near,Female,70,2,3,1,2,1,1,3,1,1,0,2,3,0,1274,2.1666666666666665,8,5,7
21,84,High,Low,No,6,66,High,Yes,2,High,Medium,Private,Positive,4,Yes,College,Far,Male,68,3,1,0,3,1,3,2,1,1,1,2,1,1,1764,3.5,6,8,10
15,72,Medium,Medium,Yes,8,68,High,Yes,0,Medium,Medium,Public,Positive,2,No,High School,Near,Female,64,2,2,1,3,1,2,2,0,1,0,1,3,0,1080,1.875,5,5,10
23,78,High,Medium,No,8,94,Medium,Yes,1,High,Medium,Private,Neutral,2,Yes,High School,Moderate,Male,68,3,2,0,2,1,3,2,1,0,1,1,2,1,1794,2.875,6,7,10
20,92,Medium,Low,No,7,67,Low,Yes,1,Medium,Medium,Public,Positive,5,No,High School,Near,Male,68,2,1,0,1,1,2,2,0,1,0,1,3,1,1840,2.857142857142857,5,5,12
8,66,High,High,Yes,8,83,Medium,Yes,0,Low,Medium,Private,Positive,4,No,College,Near,Male,63,3,3,1,2,1,1,2,1,1,0,2,3,1,528,1.0,6,6,12
24,72,Low,Medium,Yes,8,73,Low,Yes,1,Low,Medium,Public,Positive,2,No,College,Moderate,Female,65,1,2,1,1,1,1,2,0,1,0,2,2,0,1728,3.0,6,4,10
25,87,Low,Medium,Yes,10,97,Medium,Yes,4,Low,Low,Private,Neutral,3,Yes,High School,Near,Female,69,1,2,1,2,1,1,1,1,0,1,1,3,0,2175,2.5,8,3,13
14,73,Medium,High,No,8,58,Medium,Yes,2,Low,High,Public,Negative,2,No,College,Moderate,Male,63,2,3,0,2,1,1,3,0,-1,0,2,2,1,1022,1.75,9,5,10
23,92,Low,Medium,Yes,10,71,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,College,Near,Male,69,1,2,1,2,1,1,2,0,0,0,2,3,1,2116,2.3,6,4,13
15,65,High,Low,Yes,7,56,Medium,No,3,High,Medium,Private,Positive,3,Yes,High School,Near,Female,61,3,1,1,2,0,3,2,1,1,1,1,3,0,975,2.142857142857143,6,7,10
21,91,Low,High,Yes,9,79,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,College,Far,Female,69,1,3,1,2,1,1,2,1,0,0,2,1,0,1911,2.3333333333333335,8,4,12
12,63,High,Medium,No,9,70,Low,Yes,1,High,Low,Public,Positive,3,No,College,Near,Female,62,3,2,0,1,1,3,1,0,1,0,2,3,0,756,1.3333333333333333,5,8,12
9,61,Low,High,Yes,7,53,Medium,Yes,0,Medium,Medium,Public,Positive,2,Yes,Postgraduate,Far,Male,58,1,3,1,2,1,2,2,0,1,1,3,1,1,549,1.2857142857142858,6,6,9
18,96,Medium,High,Yes,6,92,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Far,Male,71,2,3,1,2,1,2,2,0,1,0,1,1,1,1728,3.0,8,5,9
19,83,High,Low,No,6,69,Medium,Yes,5,Medium,Medium,Private,Positive,2,No,Postgraduate,Far,Male,69,3,1,0,2,1,2,2,1,1,0,3,1,1,1577,3.1666666666666665,9,8,8
18,74,High,Medium,No,8,75,High,Yes,1,High,High,Public,Positive,3,No,Postgraduate,Moderate,Male,68,3,2,0,3,1,3,3,0,1,0,3,2,1,1332,2.25,7,9,11
13,69,Medium,Low,No,5,70,Medium,Yes,0,Medium,High,Private,Negative,2,No,College,Near,Male,61,2,1,0,2,1,2,3,1,-1,0,2,3,1,897,2.6,5,6,7
18,85,High,Medium,Yes,6,74,Medium,Yes,3,Low,Medium,Private,Negative,2,No,College,Far,Male,67,3,2,1,2,1,1,2,1,-1,0,2,1,1,1530,3.0,8,6,8
22,80,Medium,High,Yes,9,51,Medium,Yes,2,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Male,68,2,3,1,2,1,2,2,0,-1,0,3,3,1,1760,2.4444444444444446,8,7,12
20,100,Medium,Medium,Yes,8,91,Medium,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Male,72,2,2,1,2,1,1,2,0,1,0,1,3,1,2000,2.5,8,4,11
21,99,High,Low,Yes,4,67,Medium,Yes,1,Medium,Medium,Private,Negative,4,No,College,Near,Female,71,3,1,1,2,1,2,2,1,-1,0,2,3,0,2079,5.25,5,7,8
16,85,Medium,Medium,Yes,5,86,Low,No,3,Medium,Medium,Public,Positive,2,No,High School,Near,Male,67,2,2,1,1,0,2,2,0,1,0,1,3,1,1360,3.2,7,5,7
27,78,Medium,Medium,No,10,53,Medium,Yes,3,Medium,Medium,Private,Neutral,4,Yes,Postgraduate,Moderate,Male,68,2,2,0,2,1,2,2,1,0,1,3,2,1,2106,2.7,8,7,14
13,80,Medium,Medium,No,9,76,Medium,Yes,0,High,Medium,Public,Neutral,2,No,High School,Near,Female,64,2,2,0,2,1,3,2,0,0,0,1,3,0,1040,1.4444444444444444,5,6,11
23,87,Medium,High,No,6,95,High,Yes,3,High,Medium,Private,Positive,0,No,High School,Near,Female,73,2,3,0,3,1,3,2,1,1,0,1,3,0,2001,3.8333333333333335,9,6,6
27,64,Low,Medium,Yes,5,70,Medium,Yes,0,Low,High,Public,Positive,4,No,High School,Near,Female,65,1,2,1,2,1,1,3,0,1,0,1,3,0,1728,5.4,6,3,9
23,73,Low,High,No,5,60,High,Yes,1,Medium,Medium,Private,Positive,2,No,Postgraduate,Near,Female,67,1,3,0,3,1,2,2,1,1,0,3,3,0,1679,4.6,7,6,7
19,63,High,Medium,Yes,8,55,Low,Yes,0,Medium,Medium,Private,Positive,4,No,College,Moderate,Female,63,3,2,1,1,1,2,2,1,1,0,2,2,0,1197,2.375,5,7,12
17,63,Medium,Medium,Yes,10,93,Medium,Yes,0,Low,Medium,Public,Positive,2,Yes,Postgraduate,Near,Female,63,2,2,1,2,1,1,2,0,1,1,3,3,0,1071,1.7,5,6,12
26,68,Medium,Medium,Yes,10,62,High,Yes,4,Medium,Medium,Public,Neutral,2,No,Postgraduate,Near,Female,69,2,2,1,3,1,2,2,0,0,0,3,3,0,1768,2.6,9,7,12
11,79,High,High,Yes,5,99,Medium,Yes,1,High,Low,Public,Positive,3,No,High School,Near,Female,68,3,3,1,2,1,3,1,0,1,0,1,3,0,869,2.2,6,7,8
14,91,Medium,Medium,Yes,7,62,Medium,Yes,2,Low,High,Public,Neutral,2,No,College,Near,Male,68,2,2,1,2,1,1,3,0,0,0,2,3,1,1274,2.0,8,5,9
18,79,High,High,Yes,6,74,Medium,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Male,69,3,3,1,2,1,1,2,0,1,0,1,3,1,1422,3.0,9,5,10
27,73,High,High,Yes,7,73,High,Yes,5,High,High,Public,Negative,3,No,High School,Near,Female,73,3,3,1,3,1,3,3,0,-1,0,1,3,0,1971,3.857142857142857,12,7,10
22,63,High,High,Yes,5,53,High,Yes,3,Low,High,Public,Negative,2,No,High School,Near,Male,66,3,3,1,3,1,1,3,0,-1,0,1,3,1,1386,4.4,10,5,7
14,82,Medium,Medium,Yes,6,77,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,68,2,2,1,2,1,2,2,0,1,0,2,3,0,1148,2.3333333333333335,8,6,9
18,71,Medium,Medium,No,6,84,Medium,Yes,2,Medium,Low,Public,Neutral,2,No,Postgraduate,Near,Male,65,2,2,0,2,1,2,1,0,0,0,3,3,1,1278,3.0,6,7,8
16,85,Medium,Medium,No,8,87,High,Yes,4,Low,Medium,Private,Negative,3,No,High School,Far,Male,67,2,2,0,3,1,1,2,1,-1,0,1,1,1,1360,2.0,9,4,11
16,99,Medium,Medium,No,6,76,Low,Yes,2,Medium,Medium,Private,Positive,4,No,College,Near,Female,70,2,2,0,1,1,2,2,1,1,0,2,3,0,1584,2.6666666666666665,7,6,10
26,64,Medium,High,No,6,91,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,High School,Moderate,Male,66,2,3,0,2,1,1,2,1,0,0,1,2,1,1664,4.333333333333333,7,4,10
12,68,Medium,High,No,8,88,High,Yes,3,Low,Medium,Public,Negative,3,No,Postgraduate,Moderate,Female,64,2,3,0,3,1,1,2,0,-1,0,3,2,0,816,1.5,9,6,11
30,79,Medium,High,No,9,60,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Near,Female,69,2,3,0,2,1,1,2,0,0,0,1,3,0,2370,3.3333333333333335,7,4,12
25,99,Low,Medium,No,10,70,Medium,Yes,1,Medium,Medium,Public,Positive,5,No,College,Far,Female,71,1,2,0,2,1,2,2,0,1,0,2,1,0,2475,2.5,6,5,15
27,91,Medium,Low,No,8,57,Medium,Yes,0,Low,Low,Private,Neutral,4,No,Postgraduate,Moderate,Male,68,2,1,0,2,1,1,1,1,0,0,3,2,1,2457,3.375,3,6,12
17,96,High,Medium,No,7,57,Low,Yes,2,Medium,Medium,Private,Negative,3,No,College,Moderate,Female,68,3,2,0,1,1,2,2,1,-1,0,2,2,0,1632,2.4285714285714284,7,7,10
19,73,Low,Medium,Yes,9,86,High,Yes,0,Medium,High,Public,Positive,3,No,College,Near,Female,66,1,2,1,3,1,2,3,0,1,0,2,3,0,1387,2.111111111111111,6,5,12
11,100,Low,High,No,9,77,Medium,Yes,2,Medium,High,Public,Positive,3,No,Postgraduate,Near,Female,70,1,3,0,2,1,2,3,0,1,0,3,3,0,1100,1.2222222222222223,9,6,12
17,64,Medium,High,No,8,80,Medium,Yes,0,High,High,Public,Positive,2,No,Postgraduate,Near,Female,65,2,3,0,2,1,3,3,0,1,0,3,3,0,1088,2.125,7,8,10
23,62,Medium,Low,Yes,5,87,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Near,Female,63,2,1,1,2,1,2,2,0,-1,0,1,3,0,1426,4.6,5,5,9
28,94,Low,Medium,Yes,9,64,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,70,1,2,1,2,1,2,2,0,0,0,1,2,0,2632,3.111111111111111,5,4,12
13,97,Low,Medium,Yes,8,70,Medium,Yes,0,High,Medium,Private,Neutral,2,No,Postgraduate,Moderate,Female,67,1,2,1,2,1,3,2,1,0,0,3,2,0,1261,1.625,5,7,10
18,64,Medium,Medium,No,6,80,Medium,Yes,1,Medium,Medium,Public,Positive,5,Yes,High School,Near,Male,63,2,2,0,2,1,2,2,0,1,1,1,3,1,1152,3.0,6,5,11
19,65,High,Medium,No,6,55,Medium,Yes,1,Low,High,Public,Positive,3,No,Postgraduate,Moderate,Male,64,3,2,0,2,1,1,3,0,1,0,3,2,1,1235,3.1666666666666665,7,7,9
12,61,Low,Medium,Yes,8,92,Medium,Yes,2,High,Medium,Public,Neutral,4,Yes,High School,Moderate,Male,60,1,2,1,2,1,3,2,0,0,1,1,2,1,732,1.5,7,5,12
24,64,Medium,Medium,Yes,4,67,Low,Yes,0,Low,Medium,Public,Neutral,1,No,High School,Near,Male,62,2,2,1,1,1,1,2,0,0,0,1,3,1,1536,6.0,5,4,5
16,68,Medium,High,No,7,83,High,Yes,2,Low,High,Public,Positive,2,No,High School,Near,Female,65,2,3,0,3,1,1,3,0,1,0,1,3,0,1088,2.2857142857142856,9,4,9
19,99,Low,Low,No,6,100,Medium,Yes,0,High,Low,Private,Negative,3,No,Postgraduate,Near,Male,69,1,1,0,2,1,3,1,1,-1,0,3,3,1,1881,3.1666666666666665,3,7,9
17,87,Medium,High,Yes,6,74,Low,Yes,1,Low,High,Private,Neutral,3,No,College,Moderate,Female,68,2,3,1,1,1,1,3,1,0,0,2,2,0,1479,2.8333333333333335,8,5,9
15,91,Medium,Medium,No,6,61,Medium,No,1,Medium,High,Public,Positive,2,No,High School,Moderate,Male,66,2,2,0,2,0,2,3,0,1,0,1,2,1,1365,2.5,6,5,8
20,91,High,High,Yes,5,61,Low,Yes,4,Low,Medium,Public,Positive,2,No,Postgraduate,Near,Male,72,3,3,1,1,1,1,2,0,1,0,3,3,1,1820,4.0,10,7,7
19,81,Medium,High,Yes,9,53,Medium,Yes,2,High,Medium,Public,Positive,3,No,High School,Near,Male,68,2,3,1,2,1,3,2,0,1,0,1,3,1,1539,2.111111111111111,8,6,12
18,92,Medium,Medium,No,4,88,Medium,Yes,3,High,Medium,Public,Neutral,2,No,High School,Moderate,Male,69,2,2,0,2,1,3,2,0,0,0,1,2,1,1656,4.5,8,6,6
16,84,Medium,Medium,No,7,65,Low,Yes,1,High,High,Public,Negative,3,No,High School,Moderate,Male,65,2,2,0,1,1,3,3,0,-1,0,1,2,1,1344,2.2857142857142856,7,6,10
22,73,High,Medium,Yes,6,59,Low,Yes,0,Low,Medium,Public,Positive,1,No,High School,Near,Male,65,3,2,1,1,1,1,2,0,1,0,1,3,1,1606,3.6666666666666665,5,5,7
30,82,Low,Medium,Yes,10,86,Low,Yes,2,Low,High,Public,Neutral,4,No,High School,Near,Female,70,1,2,1,1,1,1,3,0,0,0,1,3,0,2460,3.0,8,3,14
21,81,Medium,Low,Yes,7,65,High,Yes,1,Medium,Medium,Public,Positive,2,No,College,Moderate,Male,67,2,1,1,3,1,2,2,0,1,0,2,2,1,1701,3.0,5,6,9
26,93,High,Medium,No,4,80,Medium,Yes,4,Low,Medium,Private,Positive,3,Yes,College,Near,Male,73,3,2,0,2,1,1,2,1,1,1,2,3,1,2418,6.5,9,6,7
12,99,High,High,No,8,71,Medium,Yes,2,Medium,Low,Public,Neutral,2,No,College,Near,Female,70,3,3,0,2,1,2,1,0,0,0,2,3,0,1188,1.5,7,7,10
21,76,Medium,Medium,Yes,5,67,Medium,Yes,1,High,Low,Private,Positive,3,No,High School,Moderate,Male,66,2,2,1,2,1,3,1,1,1,0,1,2,1,1596,4.2,5,6,8
13,91,Medium,Medium,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Positive,1,No,Postgraduate,Near,Male,68,2,2,1,2,1,1,2,1,1,0,3,3,1,1183,1.625,6,6,9
11,64,Medium,Medium,Yes,8,66,Medium,Yes,2,Low,Medium,Public,Positive,2,No,College,Moderate,Male,61,2,2,1,2,1,1,2,0,1,0,2,2,1,704,1.375,7,5,10
16,91,Medium,High,No,9,94,Low,Yes,0,High,Medium,Public,Positive,3,No,Postgraduate,Near,Male,70,2,3,0,1,1,3,2,0,1,0,3,3,1,1456,1.7777777777777777,6,8,12
27,75,Medium,Low,Yes,7,54,Low,Yes,2,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Female,66,2,1,1,1,1,2,2,0,-1,0,3,3,0,2025,3.857142857142857,6,7,10
26,62,High,Medium,Yes,8,52,Medium,Yes,4,Low,Medium,Public,Neutral,5,No,College,Near,Male,67,3,2,1,2,1,1,2,0,0,0,2,3,1,1612,3.25,9,6,13
21,75,High,High,No,7,70,High,Yes,1,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Female,69,3,3,0,3,1,2,3,1,0,0,3,3,0,1575,3.0,8,8,10
11,84,Medium,Low,Yes,6,59,Low,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Near,Female,64,2,1,1,1,1,2,2,0,1,0,1,3,0,924,1.8333333333333333,6,5,9
19,65,High,Medium,Yes,9,87,Low,Yes,0,High,High,Public,Positive,2,No,College,Moderate,Male,65,3,2,1,1,1,3,3,0,1,0,2,2,1,1235,2.111111111111111,6,8,11
22,97,High,Medium,Yes,5,68,Low,Yes,7,Medium,High,Private,Negative,5,No,College,Near,Female,75,3,2,1,1,1,2,3,1,-1,0,2,3,0,2134,4.4,13,7,10
21,63,High,Medium,No,7,63,Medium,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Far,Male,63,3,2,0,2,1,2,2,0,0,0,1,1,1,1323,3.0,7,6,9
9,97,High,Medium,No,6,68,Low,Yes,5,Medium,Medium,Private,Neutral,3,No,College,Near,Male,69,3,2,0,1,1,2,2,1,0,0,2,3,1,873,1.5,10,7,9
15,88,Medium,High,Yes,8,61,Low,Yes,2,Medium,High,Public,Positive,4,Yes,High School,Near,Male,68,2,3,1,1,1,2,3,0,1,1,1,3,1,1320,1.875,9,5,12
20,73,Medium,Low,Yes,6,65,Medium,Yes,2,High,High,Private,Positive,2,No,College,Near,Male,66,2,1,1,2,1,3,3,1,1,0,2,3,1,1460,3.3333333333333335,7,7,8
23,76,Low,Medium,Yes,6,78,Low,Yes,2,High,Medium,Public,Positive,2,No,High School,Moderate,Female,66,1,2,1,1,1,3,2,0,1,0,1,2,0,1748,3.8333333333333335,7,5,8
7,90,Low,Medium,Yes,7,93,Low,Yes,4,Medium,Medium,Public,Neutral,3,No,College,Near,Male,66,1,2,1,1,1,2,2,0,0,0,2,3,1,630,1.0,9,5,10
19,84,Medium,Medium,Yes,9,69,Medium,Yes,2,Medium,Low,Public,Neutral,4,No,College,Near,Female,68,2,2,1,2,1,2,1,0,0,0,2,3,0,1596,2.111111111111111,6,6,13
21,87,Low,Medium,Yes,6,66,Medium,Yes,1,Low,Low,Public,Negative,2,No,High School,Moderate,Female,65,1,2,1,2,1,1,1,0,-1,0,1,2,0,1827,3.5,5,3,8
25,76,Medium,High,No,6,89,High,Yes,3,Low,Medium,Public,Neutral,3,No,College,Near,Male,70,2,3,0,3,1,1,2,0,0,0,2,3,1,1900,4.166666666666667,9,5,9
24,80,Medium,High,No,5,51,Medium,Yes,3,High,Low,Public,Positive,2,No,High School,Near,Female,68,2,3,0,2,1,3,1,0,1,0,1,3,0,1920,4.8,8,6,7
23,100,Medium,Medium,No,6,65,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,70,2,2,0,1,1,2,3,0,0,1,1,3,0,2300,3.8333333333333335,7,5,8
15,69,Low,Medium,No,8,73,Medium,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Moderate,Male,61,1,2,0,2,1,2,2,0,0,0,1,2,1,1035,1.875,7,4,10
9,77,Low,Low,No,7,80,Medium,Yes,3,Medium,Medium,Public,Positive,3,Yes,High School,Near,Male,61,1,1,0,2,1,2,2,0,1,1,1,3,1,693,1.2857142857142858,7,4,10
18,72,Low,High,No,7,58,Low,Yes,6,Low,Medium,Public,Positive,0,No,High School,Moderate,Male,64,1,3,0,1,1,1,2,0,1,0,1,2,1,1296,2.5714285714285716,12,3,7
26,91,Low,Medium,No,10,72,Low,Yes,4,High,Medium,Public,Neutral,3,No,College,Moderate,Male,71,1,2,0,1,1,3,2,0,0,0,2,2,1,2366,2.6,9,6,13
28,91,High,Medium,Yes,4,78,Low,Yes,1,Medium,Low,Public,Positive,3,No,High School,Moderate,Male,72,3,2,1,1,1,2,1,0,1,0,1,2,1,2548,7.0,5,6,7
24,72,Medium,High,Yes,10,76,High,No,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,66,2,3,1,3,0,1,2,0,-1,0,1,3,1,1728,2.4,6,4,13
23,63,Medium,Medium,Yes,9,79,High,Yes,0,Low,Medium,Private,Negative,4,No,High School,Far,Female,63,2,2,1,3,1,1,2,1,-1,0,1,1,0,1449,2.5555555555555554,5,4,13
22,60,Low,Low,No,7,83,Medium,No,3,Medium,Medium,Public,Positive,1,No,College,Near,Female,62,1,1,0,2,0,2,2,0,1,0,2,3,0,1320,3.142857142857143,6,5,8
17,77,Medium,Medium,Yes,8,69,Low,Yes,3,High,Medium,Public,Neutral,3,Yes,High School,Near,Male,65,2,2,1,1,1,3,2,0,0,1,1,3,1,1309,2.125,8,6,11
19,76,Medium,Medium,Yes,6,53,Medium,Yes,2,Medium,Medium,Public,Positive,5,No,High School,Near,Male,66,2,2,1,2,1,2,2,0,1,0,1,3,1,1444,3.1666666666666665,7,5,11
30,100,Low,High,No,7,53,Medium,Yes,2,Low,High,Private,Neutral,3,No,High School,Moderate,Male,72,1,3,0,2,1,1,3,1,0,0,1,2,1,3000,4.285714285714286,9,3,10
14,79,High,Medium,Yes,10,93,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,Near,Male,68,3,2,1,2,1,2,2,0,0,0,2,3,1,1106,1.4,7,7,13
30,70,High,Low,No,6,84,High,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,70,3,1,0,3,1,2,2,0,1,0,3,3,1,2100,5.0,6,8,9
18,96,Medium,Medium,Yes,7,88,Medium,Yes,1,Medium,High,Private,Negative,3,No,High School,Moderate,Female,70,2,2,1,2,1,2,3,1,-1,0,1,2,0,1728,2.5714285714285716,7,5,10
28,80,Medium,High,No,6,96,High,Yes,2,Low,Medium,Public,Positive,6,No,High School,Near,Male,73,2,3,0,3,1,1,2,0,1,0,1,3,1,2240,4.666666666666667,8,4,12
12,84,Medium,High,No,6,88,High,No,2,High,High,Public,Positive,2,No,High School,Near,Male,67,2,3,0,3,0,3,3,0,1,0,1,3,1,1008,2.0,8,6,8
24,64,Medium,Low,No,6,85,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,65,2,1,0,2,1,2,2,0,1,0,3,2,1,1536,4.0,7,7,8
16,75,High,Low,Yes,5,83,Medium,Yes,1,Medium,High,Private,Negative,3,No,College,Moderate,Female,65,3,1,1,2,1,2,3,1,-1,0,2,2,0,1200,3.2,6,7,8
12,98,Low,Medium,No,7,63,Medium,Yes,0,High,Medium,Private,Neutral,3,Yes,High School,Near,Female,65,1,2,0,2,1,3,2,1,0,1,1,3,0,1176,1.7142857142857142,5,5,10
21,84,Medium,Medium,Yes,7,98,Medium,Yes,0,Medium,Medium,Public,Neutral,4,No,College,Near,Male,70,2,2,1,2,1,2,2,0,0,0,2,3,1,1764,3.0,5,6,11
26,74,Medium,Low,Yes,6,77,Medium,Yes,3,Medium,Medium,Private,Negative,2,No,High School,Far,Male,66,2,1,1,2,1,2,2,1,-1,0,1,1,1,1924,4.333333333333333,7,5,8
15,85,Medium,Medium,Yes,4,61,Medium,Yes,0,Medium,Low,Public,Neutral,1,No,College,Near,Male,65,2,2,1,2,1,2,1,0,0,0,2,3,1,1275,3.75,4,6,5
11,96,High,High,No,7,60,Medium,Yes,2,Low,Medium,Public,Neutral,1,No,High School,Near,Male,68,3,3,0,2,1,1,2,0,0,0,1,3,1,1056,1.5714285714285714,8,5,8
19,71,Medium,Medium,Yes,7,91,Medium,Yes,3,High,Medium,Public,Negative,1,No,High School,Moderate,Female,66,2,2,1,2,1,3,2,0,-1,0,1,2,0,1349,2.7142857142857144,8,6,8
19,80,Low,Medium,Yes,10,63,High,No,1,Medium,Medium,Public,Neutral,2,No,College,Near,Female,65,1,2,1,3,0,2,2,0,0,0,2,3,0,1520,1.9,5,5,12
